ID,Start_time,End_time,English,Español,Gloss
1,705,9815,A long time ago in Central America in Nicaragua in that country.,(Hace) mucho tiempo en Centroamérica en donde está Nicaragua en ese país, PASADO(2Msu) CENTROAMÉRICA DÓNDE B:CENTROAMÉRICA SIGNO B:CENTROAMÉRICA NICARAGUA DL:NICARAGUA INDX.DEM PAÍS 
2,10590,11657,There was a village.,(había) un pueblo.,INDX.DEM PUEBLO 
3,11707,16594,This village was among lush mountains.,(Ese) pueblo estaba entre frondosas montañas., MONTAÑA BOSQUE PUEBLO cl.e(Xa):localización-pueblo 
4,16594,17424,Among the people living there ,(Entre las) personas (que) allí vivían , VIVIR PERSONA B 
5,17441,20209,was the village chief,uno (era) el jefe,UNO cl.e(1):PERSONA RESPONSABLE JEFE 
6,20226,22569,called Kuma,se llamaba Kuma, NOMBRE DL:KUMA 
7,22573,25004,I have assigned him this sign.,le he dado este signo.,SIGNO DAR(2M) SN:KUMA 
8,25135,28011,Kuma was a strong and courageous person ,Kuma (era) una persona fuerte y valiente,INDX.PRO:3sg PERSONA FUERTE DEPORTE G 
9,28021,34082,He could face animals such as the tiger the puma and many more.,Podía enfrentarse a los animales: el tigre el puma y muchos más.,PODER CONTRA CONTRA ANIMAL2 G TIGRE cl.c(5d):garras-andar DL:PUMA ETC 
10,34088,35383,He could face these animals,Podía enfrentarse a los animales, ANIMAL2 CONTRA CONTRA PODER 
11,35390,36580,because he was strong and brave.,(porque era) fuerte (y) valiente., FUERTE DEPORTE 
12,38049,39419,How/what happened?,Cómo/Qué pasó,CÓMO TRANSCURRIR 
13,39419,42127,One night Kuma was at home sleeping ,(pues) una noche (Kuma estaba) en casa durmiendo , NOCHE DORMIR CASA 
14,42127,44226,He was asleep and,(estaba) dormido (y), G:dormido DORMIR G:dormir 
15,44226,45327,He felt a roar,(sintió) un estruendo, SONIDO(2M) 
16,45327,46605,He woke up.,(que le) despertó., DESPERTAR 
17,46605,47256,went out,Salió,cl.e(2d):PERSONA-salir-tienda cl.e(Bd):TIENDA 
18,47256,50205,looked down on (the place),oteó (el lugar y),MIRAR 
19,50205,54020,and found a girl,encontró una niña,MIRAR INDX.PRO:3sg MUJER PEQUEÑO2 
20,54020,55751,who was crying and,(que) tenía los ojos llorosos (y), cl.c(5d):OJOS-llorosos 
21,55751,58165,naked.,(estaba) desnuda., G:conmovido DESNUDO G:conmovido 
22,58165,59994,Kuma looked at her and,Kuma la miró y,SN:KUMA MIRAR 
23,59994,63451,he felt sorry for the girl.,se le encogió el corazón., CORAZÓN.FORMA cl.d(5d&amp;gt;A):encogerse-corazón 
24,63451,65405,and decided to pick her up.,Decidió recogerla.,G:pensar cl.m(5d&amp;gt;A):coger-persona 
25,65405,69280,"""I will take care of you and my seven children","""La cuidaré [a ella] y a mis siete hijos",QUERER CUIDAR MÁS.SUMA INDX PROPIO(2M) SIETE NACER 
26,69280,71775,I will take care of the seven and this girl.,cuidaré a los siete y a esta niña., SIETE MÁS.SUMA INDX MUJER INDX CUIDAR 
27,71820,74683,"You will be called Arua.""","Te llamarás Arúa.""",INDX NOMBRE DL:ARUA 
28,74683,78006,"meaning ""star of the night""","(Que) significa ""estrella de la noche""", SIGNIFICAR TÍTULO ESTRELLA NOCHE 
29,78006,79243,in short.,sintetizado., CORTO 
30,79263,80811,He assigned Arua,Le puso Arúa,DL:ARUA DAR(2M) 
31,80811,82752,"(her) sign ""Star"".","(su) signo ""Estrella"".",SIGNO SN:ARÚA INDX.PRO 
32,82752,84434,Kuma took Arua home and looked after her.,Kuma se llevó a Arúa y la cuidó., G:Kuma cl.m(C):colocar-persona 
33,84434,85695,Kuma took Arua home and looked after her.,Kuma se llevó a Arúa y la cuidó., CUIDAR 
34,85857,88493,Years passed,Pasó el tiempo, TRANSCURRIR 
35,88515,92245,Arua and Kuma’s boys grew up together.,Arúa y los hijos [de Kuma] crecieron., CRECER(2M) PEQUEÑO2(2M) CRECER(2M) 
36,92268,98835,Arua was obedient good-hearted and very pretty.,Arúa era obediente de buen corazón y muy guapa.,INDX MUJER SN:ARÚA YA G OBEDECER BUENO.CORAZÓN BONITO^MARAVILLA G 
37,99074,104124,One of the children the eldest approached Kuma,Uno (de los hijos) el mayor se acercó a Kuma,INDX HOMBRE hhh PRIMERO PRINCIPAL G:acercar-Kuma 
38,104124,106820,"and said to him: ""I want to marry Arua""","(le dijo a Kuma:) ""Quiero casarme (con Arúa).""",QUERER LOS-DOS CASAR 
39,108078,111116,"Kuma: ""Wait wait.""","Kuma: ""Espera espera.""", G:impresionado SN:KUMA G:impresionado 
40,111141,113256,Later another brother also said he’d want to marry her:,Otro hermano después también se lo pidió:,OTRO HERMANO DESPUÉS PEDIR(1M) TAMBIÉN 
41,113256,114902,"""I want to marry Arua""","""Quiero casarme (con Arúa).""",QUERER LOS-DOS CASAR 
42,114913,116296,"Kuma: ""Wait wait.""","(Kuma:) ""Espera espera.""", ESPERAR2(2M) 
43,116349,119190,The seven brothers stood before Kuma,Vinieron (ante Kuma) los siete, EXPLICAR- ALGUNO.PERSONA SIETE cl.e(2):PERSONAS7-aproximarse cl.e(5):PERSONAS7-aproximarse 
44,119292,120955,and so did Arua.,vino (ante Kuma) Arúa., SN:ARÚA cl.e(1):PERSONA-aproximarse 
45,121283,122212,"Kuma: ""Wait wait.""","(Kuma:) ""Esperad esperad""", ESPERAR2(2M) 
46,122212,123946,All were arguing,(todos) discutían, DISCUTIR 
47,123946,125222,"""Wait wait.""","""Esperad esperad.", ESPERAR2(2M) 
48,125469,128481,Let’s make a deal let her decide,(Hagamos) mejor un trato (que) decida ella,INDX BIEN DIRECTOR ESCOGER 
49,128481,130732,Whether she wants to marry or not.,(si) quiere casarse (o) no.,SENTIR SÍ-O-NO INDX CASAR 
50,130829,133111,"I should not decide she should"".","Yo no debo decidir sino ella"".",INDX.PRO:1sg SENTIR NO INDX.PRO 
51,134022,136614,"Arua: ""Wait""","Arúa: ""Esperad""",SN:ARÚA G:pensárselo ESPERAR2(2M) 
52,136614,139151,She thought about it a little,lo pensó (un poco), G:pensar PENSAR(2Msu) 
53,139151,140419,"""I want to wait ","""quiero esperar ",INDX.PRO:1sg QUERER ESPERAR2(2M) 
54,140419,142679,When I think about it,cuando lo piense,FUTURO PENSAR(2Msu) 
55,142679,143358,I will let you know,os responderé, RESPONDER 
56,143358,143962,"in the mean time wait.""","(mientras tanto) esperad.""", ESPERAR2(2M) 
57,144590,146693,"""I feel happy","""Me siento contento", G:pensativo SENTIR CONTENTO 
58,146693,149142,"I think waiting is good"" thought Kuma.","pienso que (está) bien esperar"" (pensó Kuma.)", PENSAR(2Msu) BIEN(2M) ESPERAR2(2M) 
59,149268,151646,Years passed and,Pasó el tiempo (y), TRANSCURRIR 
60,151646,155308,The eldest son went again to Kuma,el hijo mayor acudió otra vez a Kuma,INDX.PRO:3sg OTRA-VEZ INDX.PRO:3sg HIJO MAYOR G:acercar-Kuma 
61,155333,156432,"""(What) does (Arua) want?","""(¿Qué) quiere (Arúa?)",QUERER G:interrogativo 
62,156438,158333,She did not speak a word.,No ha (dicho) nada.,INDX.PRO:3sg NADA G:duda 
63,158333,159722,"I would like to ask her again to marry me""","Quiero decirle otra vez (que nos) casemos.""",QUERER DECIR OTRA-VEZ CASAR 
64,159730,160395,(but) [Arua] (stayed) silent ,(Pero) [Arúa] (sigue) en silencio ,SILENCIO 
65,160398,162781,"Arua has not said anything.""","Arúa (no ha dicho) nada.""", NADA INDX.PRO:3sg SN:ARÚA G:interrogativo 
66,162808,166840,"This son and the other sons (asked themselves): ""How do we resolve this?","Éste y otros hijos (se preguntaron): ""¿Cómo lo solucionamos/cuál (es) la solución?",INDX.PRO:3sg INDX.PRO:3sg HIJO OTRO G:interrogativo CÓMO SOLUCIÓN CUÁL 
67,166840,168171,(because) Arua (has not said) anything about marriage   ,(Porque) Arúa (no ha dicho) nada del casamiento  ,INDX SN:ARÚA CASAR NADA 
68,168171,169549,"(she continues) to be silent"".","(sigue) callada"".", SILENCIO^SUELO 
69,169549,171235,"All present there said: ""Okay","Los presentes: ""De acuerdo",INDX.PRO:1pl G:pensar ACUERDO 
70,171235,174266,The seven of us will have to fight each other,los siete nos enfrentaremos,INDX.PRO:1pl SIETE cl.e(1):PERSONA-enfrentarse-persona 
71,174266,178940,"the one who wins in strength and skills will marry Arua"".","el que triunfe en fuerza y destreza se casará con Arúa"".", VICTORIA FUERTE DEPORTE INDX.PRO:3sg COGER CASAR INDX SN:ARÚA 
72,179771,182985,The father (was) behind them hiding and,El padre (estaba) detrás de ellos escondido (y),PADRE cl.e(1):PERSONA-detrás-localización cl.e(1):LOCALIZACIÓN ESCONDER 
73,182985,184475,he listened.,(los) escuchó.,ESCUCHAR B 
74,184475,187314,"""(My) children want to ((?))"" he said to himself concerned.","""(Mis) hijos quieren ((?))""( pensó) preocupado.", HIJO QUERER INDX.PRO:3pl G:pensar-con-preocupación 
75,187805,190664,The seven kids left.,Los siete hijos se fueron., ALEJARSE(2Msu) 
76,190681,192487,The father (stayed) thinking.,El padre (se quedó) pensando.,PADRE PENSAR(2Msu) G:resulución 
77,192487,196193,"""I'm going to go to consult the wizard.""","""Voy a ir a casa del brujo.""",INDX.PRO:1sg MENTE IR CASA BRUJO G 
78,196193,198206,"""I want to ask you the wizard...","""Te pregunto Brujo...",INDX.PRO:1sg LLAMAR BRUJO G 
79,198206,200091,Let me explain,Te explico,INDX.PRO:1sg EXPLICAR 
80,200091,203289,My seven children want to fight each other to death,mis siete hijos quieren matarse (entre ellos),INDX.PRO:3pl PROPIO(2M) SIETE HIJO QUERER MORIR(2Msu) 
81,203289,204441,The one who wins,el (que) venza,UNO VICTORIA 
82,204441,206440,will get married to Arua.,se casará con Arúa., CASAR INDX.PRO:3sg SN:ARÚA G 
83,206477,208164,I need your advice.,Aconséjame cómo (hago).,CÓMO ACONSEJAR G 
84,208164,209567,"Help me please.""","Ayúdame por favor.""",POR-FAVOR AYUDAR G 
85,210818,214687,"(The wizard looked at him) ""You..."".","(El brujo lo miró) ""Tú..."".", G:pausa INDX.PRO:2sg G:pensar 
86,214687,215814,I'm going to give you a solution,"""Te voy a dar (una) solución",INDX.PRO:1sg DAR(L)(2M) SOLUCIÓN 
87,215814,216810,There is a solution and,hay una (y),HABER UNO 
88,216810,217418,I'm going to give it to you,te la voy a dar, DAR(L)(2M) 
89,217418,219858,but it is very painful,pero es muy dolorosa, ENTONCES DOLOR FUERTE 
90,219858,222498,Not as bad as the death of your children,no [tanto] como la muerte de tus hijos,INDX.PRO MORIR(2Msu) IGUAL2 HIJO NO 
91,222498,225010,"a little less painful.""","(un poco) menos doloroso.""",DOLOR MENOS(2M) G:prosódico 
92,225745,226513,"""What?","""¿Cuál?", CUÁL 
93,226513,227406,"Please advise!"" (said Kuma.)","¡Aconséjame!""( dijo Kuma).", ACONSEJAR G 
94,228299,232902,"""Kill Arua it should be better for you.""","""Haz que Arúa muera (sería) mejor (para) ti.""", G:pausa INDX.PRO:2sg SN:ARÚA INDX.PRO:2sg BIEN INDX.PRO:3sg MORIR(MP) INDX.PRO:3sg 
95,234072,239447,(Kuma) reflected on the words.,(Kuma) reflexionó., G:extrañeza PENSAR(2Msu) 
96,239518,243561,"""It’s quite clear! You had adopted her","""¡(Es) evidente! Tú a ella la acogiste", G:brujo G:evidencia INDX.PRO:2sg INDX.PRO:3sg cl.m(5d):coger-persona 
97,243561,244150,You brought her up,la cuidaste, CUIDAR 
98,244150,246559,and now what?,(Y al) final ¿qué?, G:evidencia CÓMO FIN CUÁL G:pausa 
99,246559,248551,"Are you happy for adopting her?""","¿(Eres) feliz (por) haberla acogido?""",INDX.PRO:2sg FELIZ cl.m(5d):coger-persona G:prosódico 
100,249820,253647,(Kuma) reflected on the words.,(Kuma siguió) reflexionando., PENSAR(2Msu) 
101,253704,255861,Night approached,Se había hecho de noche,YA NOCHE 
102,255861,257165,(Kuma) walked away,(Kuma) se alejaba,ALEJARSE 
103,257165,260012,into the distance,caminando, CAMINAR(MP) 
