English	Gloss
stands up and looks inside something	cl.d(5d):frasco cl.e(Hd):RANA-en-frasco cl.e(C):FRASCO
A pig is building what? a house how do he does that? with bundles of straw.	UNO CERDO SECCIÓN(1M) ARREGLAR OBJETIVO CUÁL CASA CÓMO LIGERO MADERA PALO
The wolf moves back.	LOBO cl.c(1):PATAS-retroceder
the dog stealthily	cl.e(5d):PIEDRA cl.e(1):PERSONA-ascender+a-piedra
The boy climbs on the rock	cl.e(2d):PERRO-en-localización cl.e(Bh):LOCALIZACIÓN PERRO B:cl.e(Bh):LOCALIZACIÓN cl.e(2d):PERRO-rodar-localización B:cl.e(Bh):LOCALIZACIÓN
The petals closed.	G:persona-encogerse
(Continues riding) the bike	BICICLETA
The deer runs (furiously)	cl.c(A):patas-correr CIERVO
The (wolf) moves back.	INDX CONTINUAR
(and) saw (the boy on the ground)	MIRAR
and there was a ray of light in the forest and	BOSQUE cl.d(5):nubes-abrirse
And a dog whose sign is this	PERRO SN:perro
He climbs up the ladder	cl.e(2d):PERSONA-ascender-árbol cl.e(5):ÁRBOL
(since) the bottle (it was in) had no lid on it	CRISTAL2 cl.d(B):forma-frasco cl.m(5d):abrir-tapa B:cl.d(B):forma-frasco NADA(1M) B:cl.d(B):forma-frasco
(hitting) a ball	B:cl.m(Xc):sostener-raqueta cl.e(O):PELOTA
"Oh!" Amazing! The two our frog and another they are a couple are wedded.	INDX B:cl.m(Bd):apoyarse-en+tronco MENTE-APAGADA(1M) B:cl.m(Bd):apoyarse-en+tronco LOS-DOS B::cl.m(Bd):apoyarse-en+tronco SN:RANA LOS-DOS PAREJA NOVIO
Tell you a past story?	INFORMAR PASADO(2Msu) HISTORIA
How beautiful!"	INDX cl.m(5d):apoyarse-en+tronco BONITO2
They followed the footprints	cl.c(I):PIE-pisar cl.e(1):PERSONAS-desplazarse
and screams: "Child [his sign]"	GRITAR2 SN:niño
He gets off the bike (and)	cl.e(Xa):BICICLETA cl.e(2d):PERSONA-descender+de-bicicleta cl.e(Bh):BICICLETA
He put the pears in the baskets.	cl.m(Cc&amp;gt;5d):echar-fruta
"One basket of pears has disappeared	DESAPARECER UNO cl.d(B):cesta PERA4
(and) the basket too	CESTO cl.e(A):CESTO-caer
(as) he walks with the other two boys.	cl.e(2):PERSONAS2-desplazarse
The (blond boy) gives a pear for each one.	INDX REGALAR PERA4 UNO UNO
had disappeared. "It can't be" he said.	DESAPARECER PODER3 B:DESAPARECER
I do not recognise this (she thought)	CONOCER NO
(are) the same ones as before	MISMO LO-DE-ANTES
(He lacks) proof	SUSTANCIA
They had seen him	MIRAR
and plucks a pear	cl.m(5d):coger-fruta cl.e(C):SACO
Climbs down	cl.e(2d):PERSONA-descender-árbol B:cl.e(5):ÁRBOL
It hesitates but stays on his hand	cl.e(2b):PERSONA-sobre-ciervo cl.e(Hd):CIERVO-correr cl.d(5d):talud cl.d(2d):talud cl.e(2b):PERSONA-sobre-ciervo cl.e(Hd):CIERVO-correr
The boy extends his hand	cl.c(A):pezuñas-correr
"How strange!" he thought "this can’t be true." 	MENTE-APAGADA RARO
approaching	cl.e(3):PERSONAS3-aproximarse B:cl.c(1):PIERNA
